"PID","Q26_First.Click","Q26_Last.Click","Q26_Page.Submit","Q26_Click.Count","Q28_First.Click","Q28_Last.Click","Q28_Page.Submit","Q28_Click.Count","attCheck1","attCheck2","BZSH_1","BZSH_2","BZSH_3","BZSH_4","BZSH_5","BZSH_6","BZSH_7","spend_1","spend_2","spend_3","spend_4","spend_5","PANAS_1","PANAS_2","PANAS_3","PANAS_4","PANAS_5","PANAS_6","PANAS_7","PANAS_8","PANAS_9","PANAS_10","PANAS_11","PANAS_12","PANAS_13","PANAS_14","PANAS_15","PANAS_16","PANAS_17","PANAS_18","PANAS_19","PANAS_20","PANAS_21","subjHap_1","subjHap_2","subjHap_3","subjHap_4","ideo_general","ideo_social","ideo_economic","dob","gender","gender_3_TEXT","race","race_5_TEXT","edu","income","feedback","condition","age","passCheck","BZSH_5R","BZSH_6R","subjHap_4R","BZSH","PANASpos","PANASneg","subjHap","ideo","totalDonation","donated"
177,NA,NA,NA,NA,36.681,147.737,151.357,52,3,1,2,1,4,2,6,7,2,25,25,25,25,0,2,5,2,1,1,4,4,2,1,1,4,1,3,2,4,2,2,3,1,4,3,3,4,2,6,3,2,5,1996,"woman","","white","",4,4,"",2,24,1,2,1,2,2,1.63636363636364,3.4,2.75,3.33333333333333,100,1
178,36.009,142.242,143.993,5,NA,NA,NA,NA,2,1,7,3,1,7,6,6,7,0,0,0,0,100,5,1,1,1,2,1,1,1,2,2,1,5,1,1,1,4,5,1,5,1,4,6,4,6,1,2,2,2,1965,"man","","white","",3,2,"",1,55,1,2,2,7,4.14285714285714,3.27272727272727,1,5.75,2,0,0
179,NA,NA,NA,NA,55.381,140.985,142.957,43,3,1,2,3,3,5,6,6,6,75,15,0,0,10,1,1,2,1,3,1,1,1,2,2,1,2,1,1,1,2,3,1,2,1,2,4,5,4,3,2,2,2,1986,"woman","","asian","",5,12,"",2,34,1,2,2,5,3.28571428571429,2,1,4.5,2,90,1
180,NA,NA,NA,NA,6.955,145.865,147.46,5,3,1,3,3,1,5,5,5,3,10,10,10,10,60,2,1,2,1,3,1,1,1,2,1,1,3,1,2,1,2,3,2,3,1,3,5,5,4,3,3,3,3,1998,"woman","","asian","",4,6,"",2,22,1,3,3,5,3,2.36363636363636,1.1,4.75,3,40,1
181,0,0,141.354,0,NA,NA,NA,NA,2,1,3,4,4,3,4,4,4,50,0,0,50,0,3,1,4,1,5,1,1,1,3,4,1,3,1,4,3,4,3,1,4,1,5,7,7,7,1,4,4,4,2000,"man","","white","",2,8,"",1,20,1,4,4,7,3.71428571428571,3.81818181818182,1.2,7,4,100,1
182,NA,NA,NA,NA,29.142,187.54,190.575,68,3,1,2,3,2,2,7,6,4,0,50,0,0,50,3,1,1,1,3,2,1,1,2,1,1,5,1,2,1,3,5,1,2,1,3,5,5,7,2,5,6,5,1964,"woman","","white","",3,5,"",2,56,1,1,2,6,2.28571428571429,2.72727272727273,1.1,5.75,5.33333333333333,50,1
183,NA,NA,NA,NA,0,0,141.859,0,3,1,4,2,2,6,5,5,3,10,20,10,10,50,3,1,1,1,2,1,1,1,1,2,2,4,1,1,1,3,4,1,2,1,3,6,6,5,2,4,4,5,1982,"man","","white","",4,12,"",2,38,1,3,3,6,3.28571428571429,2.36363636363636,1.1,5.75,4.33333333333333,50,1
184,NA,NA,NA,NA,0,0,230.699,0,3,1,1,2,2,5,6,6,2,0,100,0,0,0,2,3,2,2,3,2,1,1,3,1,1,3,1,3,3,3,3,2,3,1,3,6,6,5,2,1,1,1,1995,"other","nonbinary","white","",4,3,"",2,25,1,2,2,6,2.28571428571429,2.63636363636364,1.7,5.75,1,100,1
185,0,0,157.55,0,NA,NA,NA,NA,2,2,2,3,3,5,3,3,5,10,15,10,15,50,2,1,1,1,2,1,1,1,1,1,2,3,1,1,1,1,3,1,1,1,1,4,5,4,3,3,3,5,2001,"man","","white","",3,14,"",1,19,1,5,5,5,4,1.54545454545455,1.1,4.5,3.66666666666667,50,1
186,120.097,120.46,152.794,2,NA,NA,NA,NA,2,2,6,2,3,6,3,5,5,0,0,0,25,75,2,1,2,1,2,2,1,1,2,1,1,2,1,2,2,1,1,2,3,1,3,3,3,3,5,4,3,5,2000,"man","","asian","",3,8,"",1,20,1,5,3,3,4.28571428571429,1.90909090909091,1.3,3,4,25,1
187,NA,NA,NA,NA,51.287,95.479,200.022,2,3,1,5,5,5,5,5,5,5,10,20,10,10,50,3,1,3,1,3,1,1,1,3,3,1,3,1,3,1,3,3,1,3,1,3,5,5,5,5,5,5,5,1996,"man","","white","",4,5,"",2,24,1,3,3,3,4.42857142857143,3,1,4.5,5,50,1
188,0,0,146.11,0,NA,NA,NA,NA,2,2,4,3,1,7,3,4,6,0,0,0,0,100,4,1,2,1,1,1,1,1,3,1,1,4,1,3,2,4,3,2,3,1,3,3,4,3,4,4,2,4,1992,"woman","","white","",3,4,"",1,28,1,5,4,4,4.28571428571429,2.81818181818182,1.2,3.5,3.33333333333333,0,0
189,1.153,139.838,142.128,8,NA,NA,NA,NA,2,2,4,1,1,6,1,2,7,25,25,25,25,0,4,1,1,3,3,2,2,1,3,1,2,4,1,1,2,3,4,1,2,2,1,4,3,4,4,1,1,3,1984,"woman","","white","",5,7,"I thought that the reading comprehension about whether Jeff was happy was misleading and could have been phrased in a different way to check true reading comprehension. He said it felt nice in the moment but at the end he paid a price for his pro-social behavior. I said he wasn't happy but am not sure if I'll get docked for it, because of the fact that Jeff also said he was initially happy as a volunteer.",1,36,1,7,6,4,4.57142857142857,2.45454545454545,1.7,3.75,1.66666666666667,100,1
190,0,0,276.9,0,NA,NA,NA,NA,2,2,5,2,3,5,6,5,7,50,0,0,50,0,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,3,1,2,1,2,4,4,4,2,2,1,2,2001,"man","","asian","",2,4,"",1,19,1,2,3,6,3.85714285714286,1.72727272727273,1,4.5,1.66666666666667,100,1
192,0,0,150.368,0,NA,NA,NA,NA,2,2,1,2,3,5,6,6,5,0,0,60,40,0,3,1,2,2,3,1,1,1,2,1,1,4,1,2,1,3,4,1,3,1,3,5,3,3,5,1,1,1,2000,"woman","","white","",3,2,"",1,20,1,2,2,3,2.85714285714286,2.72727272727273,1.1,3.5,1,100,1
193,NA,NA,NA,NA,95.636,95.636,680.526,1,3,1,2,2,2,3,6,6,2,0,0,0,0,100,3,1,2,1,3,1,1,1,2,3,1,4,1,3,1,3,5,1,4,1,4,6,5,6,2,2,2,2,1973,"woman","","white","",3,11,"",2,47,1,2,2,6,2.14285714285714,3.27272727272727,1,5.75,2,0,0
194,NA,NA,NA,NA,0,0,374.449,0,3,1,2,5,3,3,3,5,5,25,25,8,24,18,4,4,3,2,4,3,4,2,4,4,2,3,4,3,4,2,4,4,3,4,2,5,3,4,5,5,3,4,1992,"man","","white","",5,10,"",2,28,1,5,3,3,3.71428571428571,3.27272727272727,3.3,3.75,4,82,1
195,9.627,495.746,498.406,41,NA,NA,NA,NA,2,1,5,6,5,5,5,6,5,20,20,20,20,20,5,2,5,2,5,4,2,5,4,3,2,5,2,5,1,5,5,2,5,2,5,4,6,7,6,6,5,5,1992,"man","","white","",4,5,"",1,28,1,3,2,2,4.42857142857143,4.72727272727273,2.4,4.75,5.33333333333333,80,1
196,NA,NA,NA,NA,0,0,194.196,0,3,1,1,1,1,2,6,7,2,0,100,0,0,0,2,1,1,1,2,1,1,1,2,1,1,3,1,1,1,2,3,1,2,1,2,5,5,6,1,5,4,5,1948,"woman","","white","",4,5,"",2,72,1,2,1,7,1.42857142857143,1.90909090909091,1,5.75,4.66666666666667,100,1
198,NA,NA,NA,NA,56.178,135.834,148.941,3,3,1,2,3,2,5,6,6,4,0,100,0,0,0,3,1,1,1,2,1,1,1,2,2,1,2,1,2,1,3,2,1,3,1,2,4,2,1,7,2,2,3,1988,"woman","","white","",3,11,"",2,32,1,2,2,1,2.85714285714286,2.18181818181818,1,2,2.33333333333333,100,1
199,NA,NA,NA,NA,0.992,278.282,308.046,27,3,1,1,2,1,2,5,6,3,0,0,0,0,100,4,2,5,2,4,1,3,1,4,2,2,5,2,4,3,4,5,2,5,2,3,6,2,5,4,7,1,3,1984,"man","","white","",3,8,"Very interesting survey",2,36,1,3,2,4,2,4.09090909090909,2,4.25,3.66666666666667,0,0
200,3.166,3.166,188.337,1,NA,NA,NA,NA,2,2,3,5,4,5,4,4,7,0,0,0,0,100,5,1,4,2,4,1,1,1,4,5,1,5,1,2,2,4,5,1,3,1,4,4,4,2,6,3,3,4,1985,"woman","","latinx","",4,5,"",1,35,1,4,4,2,4.57142857142857,4.09090909090909,1.2,3,3.33333333333333,0,0
201,NA,NA,NA,NA,0.686,145.311,146.511,35,3,1,1,2,1,2,6,7,1,20,40,20,20,0,4,1,5,1,5,1,1,1,5,5,1,5,1,4,1,5,4,1,4,1,5,5,4,6,3,2,1,2,1998,"woman","","black","",4,4,"",2,22,1,2,1,5,1.42857142857143,4.63636363636364,1,5,1.66666666666667,100,1
202,0,0,150.635,0,NA,NA,NA,NA,2,1,1,1,2,2,5,5,5,50,0,0,50,0,5,1,3,2,5,1,1,1,5,5,1,5,1,3,1,5,5,1,3,1,5,7,7,7,1,4,4,4,1946,"woman","","white","",5,6,"",1,74,1,3,3,7,2.42857142857143,4.45454545454545,1.1,7,4,100,1
203,343.597,343.597,346.389,1,NA,NA,NA,NA,2,1,2,6,6,7,3,7,7,25,25,25,25,0,5,1,4,1,4,1,1,2,4,5,1,3,1,4,1,5,4,1,5,1,4,6,6,6,1,1,1,1,1978,"man","","white","",5,12,"",1,42,1,5,1,7,4.85714285714286,4.27272727272727,1.1,6.25,1,100,1
204,7.178,122.718,155.995,14,NA,NA,NA,NA,2,2,2,5,1,6,3,3,6,100,0,0,0,0,3,1,1,1,1,1,1,1,2,1,1,3,1,1,1,3,3,1,3,1,2,4,4,2,6,2,2,2,1987,"man","","white","",5,10,"",1,33,1,5,5,2,4.28571428571429,2.09090909090909,1,3,2,100,1
205,0,0,219.378,0,NA,NA,NA,NA,2,1,1,1,1,7,5,5,5,100,0,0,0,0,5,1,4,1,5,1,1,1,3,3,1,4,1,4,1,1,4,1,3,1,5,6,6,5,3,2,2,3,1995,"man","","asian","",5,9,"",1,25,1,3,3,5,3,3.72727272727273,1,5.5,2.33333333333333,100,1
206,0,0,169.89,0,NA,NA,NA,NA,2,1,2,3,2,6,4,4,5,100,0,0,0,0,2,1,2,1,2,1,1,1,2,1,1,2,3,2,1,3,2,1,2,1,2,5,4,3,4,3,2,6,2000,"man","","white","",3,1,"",1,20,1,4,4,4,3.71428571428571,2,1.2,4,3.66666666666667,100,1
207,6.941,185.646,186.457,31,NA,NA,NA,NA,2,1,2,2,2,6,4,3,6,20,20,20,20,20,3,1,2,1,2,1,1,1,2,2,1,2,1,2,1,3,3,1,2,1,4,5,4,4,4,3,3,2,1990,"man","","white","",1,4,"",1,30,1,4,5,4,3.85714285714286,2.45454545454545,1,4.25,2.66666666666667,80,1
208,NA,NA,NA,NA,6.037,148.754,154.807,14,3,1,3,2,4,5,6,6,5,25,25,25,25,0,4,1,2,1,2,1,1,1,2,2,1,4,1,2,1,3,4,1,2,2,3,6,6,5,2,3,2,3,1988,"man","","white","",5,13,"None. Thanks for letting me take part in this study!",2,32,1,2,2,6,3.28571428571429,2.72727272727273,1.1,5.75,2.66666666666667,100,1
211,0,0,285.552,0,NA,NA,NA,NA,2,1,4,6,4,4,4,4,4,20,20,20,20,20,3,2,2,1,1,1,1,1,1,3,2,3,1,3,2,1,3,2,1,1,3,5,4,4,4,4,4,4,1986,"woman","","white","",4,4,"none",1,34,1,4,4,4,4.28571428571429,2.18181818181818,1.4,4.25,4,80,1
212,0,0,142.996,0,NA,NA,NA,NA,2,2,2,3,2,6,4,4,6,50,0,0,50,0,2,1,2,1,2,1,1,1,2,1,1,1,1,2,1,2,2,1,2,1,4,7,7,4,1,3,3,3,1994,"man","","white","",4,6,"",1,26,1,4,4,7,3.85714285714286,2,1,6.25,3,100,1
213,2.934,118.4,150.036,35,NA,NA,NA,NA,2,2,1,2,2,6,4,3,4,36,32,21,11,0,3,1,3,1,2,1,1,1,3,2,1,3,1,3,1,4,5,2,2,1,3,6,6,5,1,4,5,4,1994,"woman","","latinx","",4,12,"",1,26,1,4,5,7,3.42857142857143,3,1.1,6,4.33333333333333,100,1
214,0,0,157.256,0,NA,NA,NA,NA,2,2,1,3,1,7,2,5,6,0,0,0,0,100,3,2,1,1,3,2,1,1,1,1,4,3,1,1,1,3,5,1,1,1,3,5,5,5,3,1,1,1,1984,"woman","","white","",3,12,"",1,36,1,6,3,5,3.85714285714286,2.27272727272727,1.5,5,1,0,0
215,NA,NA,NA,NA,15.969,15.969,1288.799,1,3,1,2,3,4,5,6,6,5,0,100,0,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,3,4,2,5,4,3,4,2000,"man","","black","",2,4,"",2,20,1,2,2,3,3.28571428571429,1.27272727272727,1,3,3.66666666666667,100,1
216,NA,NA,NA,NA,0,0,221.978,0,3,1,2,5,1,6,5,6,6,5,5,5,5,80,5,1,2,1,4,1,1,1,5,4,1,5,1,3,1,4,5,1,4,1,4,6,5,7,2,6,6,6,1978,"woman","","white","",2,7,"I did not encounter any issues or anything unusual within the study. Thank you. ",2,42,1,3,2,6,3.57142857142857,4.09090909090909,1,6,6,20,1
217,50.674,137.623,141.983,5,NA,NA,NA,NA,2,1,5,5,2,6,3,4,6,25,20,0,55,0,3,2,4,3,4,2,3,1,3,4,1,4,3,5,3,4,4,2,3,2,3,4,3,4,3,5,5,6,1987,"woman","","white","",5,8,"The bonus for charity is so cool and nice of you!",1,33,1,5,4,5,4.71428571428571,3.72727272727273,2.2,4,5.33333333333333,100,1
218,NA,NA,NA,NA,1.119,207.377,210.487,32,3,1,2,3,3,4,6,5,3,20,15,15,20,30,2,3,2,2,3,2,2,2,1,2,2,2,3,2,3,3,2,1,2,2,2,5,3,2,5,1,1,2,1994,"woman","","white","",4,11,"",2,26,1,2,3,3,2.85714285714286,2.09090909090909,2.2,3.25,1.33333333333333,70,1
219,NA,NA,NA,NA,10.704,269.245,270.774,5,3,1,1,2,5,3,7,7,2,0,0,0,33,67,3,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,5,5,2,2,6,6,6,1956,"man","","latinx","",3,9,"",2,64,1,1,1,6,2.14285714285714,1.45454545454545,1,4.5,6,33,1
220,NA,NA,NA,NA,0,0,153.894,0,3,1,1,1,1,3,7,7,3,0,0,0,0,100,4,1,2,1,4,1,1,1,3,3,1,4,1,3,1,4,5,1,3,1,3,7,7,7,1,5,5,6,1957,"woman","","white","",3,5,"",2,63,1,1,1,7,1.57142857142857,3.45454545454545,1,7,5.33333333333333,0,0
221,5.39,126.801,145.881,6,NA,NA,NA,NA,2,1,2,5,5,6,4,4,6,50,0,50,0,0,4,1,4,1,5,1,2,1,5,5,1,3,1,5,1,5,5,2,5,1,3,4,4,1,4,6,6,6,1980,"man","","white","",5,8,"",1,40,1,4,4,4,4.57142857142857,4.45454545454545,1.2,3.25,6,100,1
222,NA,NA,NA,NA,0,0,324.053,0,3,1,3,2,2,2,6,6,3,25,25,25,25,0,4,1,3,1,3,1,1,1,4,3,1,4,1,4,1,4,4,1,4,1,4,6,6,6,2,4,4,4,1961,"woman","","white","",2,6,"",2,59,1,2,2,6,2.28571428571429,3.72727272727273,1,6,4,100,1
223,NA,NA,NA,NA,0,0,257.999,0,3,1,2,1,1,3,6,7,1,0,50,50,0,0,5,1,4,1,5,1,1,1,5,5,1,5,1,5,1,5,5,1,4,1,5,7,7,6,2,1,1,1,1963,"man","","latinx","",4,5,"",2,57,1,2,1,6,1.57142857142857,4.81818181818182,1,6.5,1,100,1
224,6.315,147.782,151.563,3,NA,NA,NA,NA,2,2,2,2,2,5,6,5,6,5,10,5,10,70,1,2,1,3,1,2,1,3,1,1,3,2,1,1,2,3,1,1,1,1,1,5,5,3,4,3,3,3,1983,"woman","","white","",4,14,"",1,37,1,2,3,4,3.14285714285714,1.27272727272727,1.9,4.25,3,30,1
225,NA,NA,NA,NA,0,0,156.201,0,3,1,5,7,6,6,6,6,5,25,50,0,25,0,4,4,5,1,4,1,1,4,4,5,2,3,1,4,1,4,4,1,4,1,5,6,6,7,5,3,2,2,1979,"man","","white","",5,11,"no",2,41,1,2,2,3,4.71428571428571,4.18181818181818,1.7,5.5,2.33333333333333,100,1
226,NA,NA,NA,NA,0,0,161.1,0,3,1,2,2,3,6,6,6,6,0,0,0,0,100,2,2,1,1,2,1,1,1,1,1,2,1,1,1,1,3,3,2,2,1,2,3,3,3,5,1,1,1,1984,"woman","","white","",4,6,"",2,36,1,2,2,3,3.28571428571429,1.72727272727273,1.3,3,1,0,0
227,9.693,157.251,158.924,22,NA,NA,NA,NA,2,2,4,2,2,6,4,3,6,100,0,0,0,0,3,1,3,1,5,1,1,1,5,5,2,5,1,2,1,3,4,1,5,1,5,7,7,7,2,6,5,5,1988,"man","","white","",3,11,"Fun and easy",1,32,1,4,5,6,4.14285714285714,4.09090909090909,1.1,6.75,5.33333333333333,100,1
228,4.337,125.145,211.224,8,NA,NA,NA,NA,2,2,4,5,3,4,4,3,4,20,7,16,26,31,4,2,2,3,3,3,3,2,2,3,2,4,4,2,4,4,3,3,4,4,3,3,4,4,5,3,4,4,2000,"man","","white","",3,3,"",1,20,1,4,5,3,4.14285714285714,3.09090909090909,3,3.5,3.66666666666667,69,1
229,103.013,132.933,141.007,6,NA,NA,NA,NA,2,2,5,4,2,6,4,4,5,0,0,0,25,75,1,2,1,1,1,2,1,2,1,1,3,1,2,1,1,1,3,1,1,1,1,1,1,1,7,2,2,2,1990,"man","","asian","",4,8,"",1,30,1,4,4,1,4.28571428571429,1.18181818181818,1.6,1,2,25,1
230,NA,NA,NA,NA,55.159,144.122,151.525,7,3,2,4,5,2,5,5,6,5,30,20,20,30,0,2,1,3,2,2,1,2,1,3,3,2,1,2,2,1,2,1,1,2,1,3,4,4,3,4,1,1,1,1990,"man","","asian","",5,8,"",2,30,1,3,2,4,3.71428571428571,2.18181818181818,1.4,3.75,1,100,1
232,87.09,103.795,142.275,3,NA,NA,NA,NA,2,1,2,3,2,6,5,5,4,0,0,0,0,100,4,3,3,2,3,1,2,1,4,2,2,5,1,2,3,4,5,1,3,2,3,5,5,4,3,4,1,5,1993,"woman","","white","",5,5,"",1,27,1,3,3,5,3.28571428571429,3.45454545454545,1.8,4.75,3.33333333333333,0,0
233,0,0,158.288,0,NA,NA,NA,NA,2,1,4,4,4,6,6,6,6,0,0,0,0,100,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,5,1,1,1,1,3,4,1,7,1,1,1,1995,"man","","asian","",4,1,"",1,25,1,2,2,1,4,1.72727272727273,1,2.25,1,0,0
234,NA,NA,NA,NA,3.064,139.954,140.955,27,3,1,1,1,2,6,6,6,3,0,0,0,0,100,4,2,4,1,1,2,1,1,4,1,1,2,1,3,3,3,2,2,2,2,2,4,3,2,4,1,1,1,1997,"man","","other","Mixed",4,8,"",2,23,1,2,2,4,2.42857142857143,2.54545454545455,1.6,3.25,1,0,0
235,NA,NA,NA,NA,0,0,143.327,0,3,1,2,2,4,5,6,6,5,25,25,25,25,0,2,1,2,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,2,1,2,3,3,3,5,3,2,5,1989,"man","","asian","",5,12,"",2,31,1,2,2,3,3.14285714285714,1.63636363636364,1,3,3.33333333333333,100,1
236,NA,NA,NA,NA,39.518,39.518,222.252,1,3,1,3,2,2,4,6,6,2,70,10,10,10,0,4,1,4,1,3,1,1,1,3,4,1,2,1,4,1,4,3,3,3,1,4,6,5,5,3,2,1,2,1996,"woman","","white","",4,3,"While this is a bit picky, if you could make the font darker on the ranking questions (like the one at the top of the page) as they are a bit difficult to read! Other than that, the survey is really well put together and I wish you the best of luck with your data analysis!",2,24,1,2,2,5,2.42857142857143,3.45454545454545,1.2,5.25,1.66666666666667,100,1
237,NA,NA,NA,NA,5.571,162.277,164.745,37,3,1,3,3,3,5,6,5,5,100,0,0,0,0,3,1,2,1,4,1,1,1,4,4,1,5,1,3,1,3,3,1,3,1,5,7,7,7,1,4,4,4,1975,"woman","","white","",2,1,"Nope. All good here.",2,45,1,2,3,7,3.42857142857143,3.54545454545455,1,7,4,100,1
238,0,0,249.185,0,NA,NA,NA,NA,2,2,2,3,3,5,4,5,5,0,0,0,100,0,2,1,2,1,3,1,1,1,2,3,1,3,1,2,1,3,3,1,3,1,3,4,4,3,4,2,2,3,1992,"man","","white","",4,14,"",1,28,1,4,3,4,3.57142857142857,2.63636363636364,1,3.75,2.33333333333333,100,1
239,104.005,140.687,141.468,27,NA,NA,NA,NA,2,1,4,2,2,7,4,6,6,0,0,0,0,100,5,1,4,2,3,2,1,1,4,2,1,3,2,4,2,4,2,5,3,1,1,4,1,4,4,4,4,4,1985,"woman","","white","",3,2,"",1,35,1,4,2,4,3.85714285714286,3.18181818181818,1.8,3.25,4,0,0
240,120.445,139.784,142.494,2,NA,NA,NA,NA,2,2,5,2,2,7,4,3,6,100,0,0,0,0,3,1,1,1,4,1,1,1,1,1,1,4,1,1,1,1,4,1,2,1,3,6,5,6,1,5,5,6,1946,"man","","white","",4,4,"",1,74,1,4,5,7,4.42857142857143,2.27272727272727,1,6,5.33333333333333,100,1
241,NA,NA,NA,NA,2.345,317.564,318.191,9,3,1,1,2,3,5,5,6,2,10,30,10,50,0,4,1,3,1,3,1,1,1,3,3,1,1,1,3,1,3,3,1,2,1,3,5,4,3,3,1,1,1,1989,"man","","white","",4,6,"",2,31,1,3,2,5,2.57142857142857,2.81818181818182,1,4.25,1,100,1
242,NA,NA,NA,NA,6.249,131.909,150.017,9,3,1,2,3,5,7,6,6,3,0,0,0,0,100,5,1,2,1,1,1,1,1,3,1,1,4,1,1,1,3,4,1,1,1,4,5,4,4,3,1,1,1,1996,"woman","","white","",4,6,"",2,24,1,2,2,5,3.42857142857143,2.63636363636364,1,4.5,1,0,0
243,NA,NA,NA,NA,136.593,291.148,293.492,17,3,1,2,2,1,5,7,7,2,0,0,100,0,0,5,2,2,2,3,1,2,1,3,5,1,5,1,3,2,3,5,1,3,2,3,6,6,5,1,7,7,7,1987,"woman","","white","",4,6,"",2,33,1,1,1,7,2,3.63636363636364,1.5,6,7,100,1
244,19.377,135.53,141.339,22,NA,NA,NA,NA,2,2,2,2,2,5,3,3,5,45,2,42,11,0,2,1,4,1,4,1,1,1,4,3,1,5,1,3,1,4,5,1,2,1,3,4,3,2,4,4,4,4,1993,"woman","","white","",4,9,"",1,27,1,5,5,4,3.71428571428571,3.54545454545455,1,3.25,4,100,1
245,NA,NA,NA,NA,0,0,154.144,0,3,1,1,1,1,1,7,7,1,60,0,0,40,0,5,2,4,2,5,1,1,1,4,2,1,5,1,4,1,2,5,2,5,1,3,1,1,1,7,1,1,1,1984,"woman","","latinx","",5,13,"His name was Jeff Evans not Jeff Flake...?",2,36,1,1,1,1,1,4,1.3,1,1,100,1
246,83.515,348.875,355.198,4,NA,NA,NA,NA,2,2,2,3,7,5,5,4,6,0,50,0,50,0,4,1,4,1,5,1,1,1,4,5,1,3,1,3,1,4,3,1,4,1,4,6,5,5,2,2,2,2,1981,"man","","white","",5,9,"",1,39,1,3,4,6,4.28571428571429,3.90909090909091,1,5.5,2,100,1
247,4.497,141.374,142.347,52,NA,NA,NA,NA,2,2,1,2,3,6,5,5,4,0,0,0,0,100,3,3,2,3,2,1,4,2,2,1,4,3,2,3,2,3,3,3,2,2,2,3,3,3,4,2,2,1,1982,"man","","white","",5,3,"N/A",1,38,1,3,3,4,3.14285714285714,2.36363636363636,2.6,3.25,1.66666666666667,0,0
248,108.789,149.837,191.654,5,NA,NA,NA,NA,2,1,5,6,5,5,5,4,6,5,5,10,10,70,4,3,2,1,3,1,1,1,2,2,1,3,1,3,1,3,2,1,3,1,4,6,5,4,5,2,3,2,1980,"man","","white","",5,11,"",1,40,1,3,4,3,4.85714285714286,2.81818181818182,1.2,4.5,2.33333333333333,30,1
249,NA,NA,NA,NA,0,0,149.006,0,3,1,3,3,4,5,6,3,5,0,0,0,0,100,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,5,5,4,2,5,4,6,1996,"woman","","white","",4,9,"",2,24,1,2,5,6,3.85714285714286,1.36363636363636,1,5,5,0,0
250,NA,NA,NA,NA,0,0,154.781,0,3,1,3,2,2,6,5,5,3,25,35,0,40,0,3,1,2,1,2,1,1,1,3,2,1,3,1,3,2,3,4,4,3,1,3,4,5,3,4,2,2,3,1998,"woman","","white","",3,10,"",2,22,1,3,3,4,3.14285714285714,2.81818181818182,1.4,4,2.33333333333333,100,1
251,16.188,39.132,149.254,3,NA,NA,NA,NA,2,1,3,4,4,5,4,5,6,0,0,0,0,100,5,2,3,3,3,5,1,1,4,3,1,4,5,4,2,5,5,1,3,1,5,5,5,5,2,5,5,5,1971,"woman","","white","",3,4,"",1,49,1,4,3,6,4.14285714285714,4,2.2,5.25,5,0,0
252,9.193,151.565,154.816,38,NA,NA,NA,NA,2,2,1,5,3,7,4,4,7,0,0,0,0,100,4,1,4,1,3,1,1,1,4,3,2,5,1,4,1,4,5,1,4,1,4,5,4,2,2,6,6,6,1966,"woman","","white","",2,12,"Thank you for giving me the opportunity to complete this survey. I normally would give $$ to charity on my own terms. Meaning, I need to budget the amount that I’m going to give out of my family’s budget and then choose which charity group I would like to give to. Have a nice weekend. ",1,54,1,4,4,6,4.42857142857143,4,1.1,4.25,6,0,0
253,NA,NA,NA,NA,108.232,197.331,198.678,16,3,1,1,2,2,6,6,7,2,0,100,0,0,0,3,3,1,1,2,2,2,1,1,1,1,3,2,2,3,4,3,1,2,2,3,6,4,5,2,4,4,2,1986,"woman","","white","",3,2,"",2,34,1,2,1,6,2.28571428571429,2.27272727272727,1.8,5.25,3.33333333333333,100,1
254,15.193,155.9,156.951,17,NA,NA,NA,NA,2,1,7,3,5,7,4,5,5,0,0,0,0,100,4,2,3,2,5,1,3,1,4,5,5,5,1,3,2,5,5,3,5,4,4,5,5,4,4,4,4,4,1992,"woman","","black","",2,1,"",1,28,1,4,3,4,4.85714285714286,4.36363636363636,2.4,4.5,4,0,0
255,3.049,206.711,207.311,38,NA,NA,NA,NA,2,2,5,4,3,6,3,5,6,10,10,20,10,50,4,1,3,1,4,1,1,1,3,3,1,4,1,4,1,3,4,1,4,1,3,5,5,5,3,6,6,6,1988,"man","","white","",5,8,"",1,32,1,5,3,5,4.57142857142857,3.54545454545455,1,5,6,50,1
256,NA,NA,NA,NA,2.854,141.935,143.483,50,3,1,1,1,6,3,7,7,1,0,0,0,0,100,4,1,4,1,4,1,1,1,4,5,1,5,1,4,1,4,4,1,4,1,4,7,4,7,1,3,3,3,1975,"woman","","latinx","",3,4,"",2,45,1,1,1,7,2,4.18181818181818,1,6.25,3,0,0
257,0,0,160.015,0,NA,NA,NA,NA,2,2,2,2,1,5,3,3,3,0,25,0,25,50,5,1,4,1,4,1,1,1,3,4,2,5,1,5,1,5,5,1,3,1,4,6,5,6,2,4,4,2,1975,"man","","white","",2,3,"",1,45,1,5,5,6,3.28571428571429,4.27272727272727,1.1,5.75,3.33333333333333,50,1
258,NA,NA,NA,NA,0,0,155.296,0,3,1,1,1,1,2,6,6,2,100,0,0,0,0,3,1,2,1,3,1,1,1,2,4,1,2,1,3,1,2,4,1,2,1,4,5,5,4,2,1,1,1,1989,"woman","","white","",5,14,"",2,31,1,2,2,6,1.57142857142857,2.81818181818182,1,5,1,100,1
